repo_name,source_url,framework,model,context_variant,judge_model,self_judged,coverage_score,total_facts,missing_facts,missing_facts_list,coverage_judged,unmatched_verdict_items,unmatched_samples,hallucination_score,total_claims,unsupported_claims,hallucination_judged,elapsed_s,judged_at,error
express-mongoose-es6-rest-api,https://github.com/kunalkapadia/express-mongoose-es6-rest-api,express,codellama:7b-instruct,dependency_graph,gemma2:9b,0,0.9545,44,2,"[""Framework: express 4.16.3"", ""Language: javascript""]",1,0,[],0.4,10,"['Mongoose', 'MongoDB', 'Jest', 'background worker']",1,15.9,2026-08-27 14:52:10,
express-mongoose-es6-rest-api,https://github.com/kunalkapadia/express-mongoose-es6-rest-api,express,codellama:7b-instruct,knowledge_graph,gemma2:9b,0,0.7955,44,9,"[""Framework: express 4.16.3"", ""Endpoint: GET /api/health-check"", ""Endpoint: POST /api/auth/login"", ""Endpoint: GET /api/auth/random-number"", ""Endpoint: POST /api/users"", ""Endpoint: GET /api/users"", ""Endpoint: DELETE /api/users/:userId"", ""Endpoint: GET /api/users/:userId"", ""Endpoint: PUT /api/users/:userId""]",1,0,[],0.3333,6,"['Mongoose', 'JWT']",1,22.7,2026-08-27 14:52:26,
express-rest-boilerplate,https://github.com/danielfsousa/express-rest-boilerplate,express,codellama:7b-instruct,raw,gemma2:9b,0,0.1404,57,49,"[""Dependency: axios"", ""Dependency: bcryptjs"", ""Dependency: bluebird"", ""Dependency: body-parser"", ""Dependency: compression"", ""Dependency: cors"", ""Dependency: cross-env"", ""Dependency: dotenv-safe"", ""Dependency: email-templates"", ""Dependency: express-validation"", ""Dependency: helmet"", ""Dependency: http-status"", ""Dependency: jwt-simple"", ""Dependency: lodash"", ""Dependency: method-override"", ""Dependency: moment-timezone"", ""Dependency: passport-http-bearer"", ""Dependency: passport-jwt"", ""Dependency: pm2"", ""Dependency: pug"", ""Dependency: uuid"", ""Dependency: winston"", ""Dependency: apidoc"", ""Dependency: chai"", ""Dependency: chai-as-promised"", ""Dependency: coveralls"", ""Dependency: eslint"", ""Dependency: eslint-config-airbnb-base"", ""Dependency: eslint-plugin-import"", ""Dependency: husky"", ""Dependency: mocha"", ""Dependency: nodemon"", ""Dependency: nyc"", ""Dependency: opn-cli"", ""Endpoint: POST /v1/auth/reset-password"", ""Endpoint: POST /v1/auth/login"", ""Endpoint: POST /v1/auth/refresh-token"", ""Endpoint: POST /v1/auth/send-password-reset"", ""Endpoint: POST /v1/auth/register"", ""Endpoint: POST /v1/auth/facebook"", ""Endpoint: POST /v1/auth/google"", ""Endpoint: GET /v1/status"", ""Endpoint: GET /v1/users/:userId"", ""Endpoint: GET /v1/users"", ""Endpoint: GET /v1/users/profile"", ""Endpoint: PUT /v1/users/:userId"", ""Endpoint: DELETE /v1/users/:userId"", ""Endpoint: POST /v1/users"", ""Endpoint: PATCH /v1/users/:userId""]",1,0,[],0.0,0,[],1,117.9,2026-08-27 14:52:49,
express-rest-boilerplate,https://github.com/danielfsousa/express-rest-boilerplate,express,codellama:7b-instruct,dependency_graph,gemma2:9b,0,1.0,57,0,[],1,0,[],0.3571,14,"['Mongoose', 'JWT', 'sinon', 'sinon-chai', 'supertest']",1,17.5,2026-08-27 14:54:47,
express-rest-boilerplate,https://github.com/danielfsousa/express-rest-boilerplate,express,codellama:7b-instruct,knowledge_graph,gemma2:9b,0,1.0,57,0,[],1,0,[],0.7,10,"['Mongoose', 'JWT', 'Passport.js', 'background worker', 'sinon', 'sinon-chai', 'supertest']",1,17.1,2026-08-27 14:55:04,
node-express-mongodb-jwt-rest-api-skeleton,https://github.com/davellanedam/node-express-mongodb-jwt-rest-api-skeleton,express,codellama:7b-instruct,raw,gemma2:9b,0,0.1746,63,52,"[""Framework: express ^4.18.1"", ""Dependency: babel-eslint"", ""Dependency: body-parser"", ""Dependency: compression"", ""Dependency: cors"", ""Dependency: date-fns"", ""Dependency: dotenv-safe"", ""Dependency: ejs"", ""Dependency: expeditious-engine-redis"", ""Dependency: express"", ""Dependency: express-expeditious"", ""Dependency: express-validator"", ""Dependency: helmet"", ""Dependency: i18n"", ""Dependency: mongoose-paginate-v2"", ""Dependency: morgan"", ""Dependency: nodemailer"", ""Dependency: nodemailer-mailgun-transport"", ""Dependency: passport"", ""Dependency: passport-jwt"", ""Dependency: request-ip"", ""Dependency: trim-request"", ""Dependency: uuid"", ""Dependency: validator"", ""Dependency: chai"", ""Dependency: chai-http"", ""Dependency: cross-env"", ""Dependency: eslint"", ""Dependency: eslint-config-formidable"", ""Dependency: eslint-config-prettier"", ""Dependency: eslint-plugin-prettier"", ""Dependency: faker"", ""Dependency: husky"", ""Dependency: istanbul-merge"", ""Dependency: jest"", ""Dependency: lint-staged"", ""Dependency: mocha"", ""Dependency: mongo-seeding"", ""Endpoint: POST /register"", ""Endpoint: POST /verify"", ""Endpoint: POST /reset"", ""Endpoint: POST /forgot"", ""Endpoint: GET /token"", ""Endpoint: POST /login"", ""Endpoint: GET /:id"", ""Endpoint: DELETE /:id"", ""Endpoint: POST /"", ""Endpoint: PATCH /:id"", ""Endpoint: GET /"", ""Endpoint: GET /all"", ""Endpoint: PATCH /"", ""Endpoint: POST /changePassword""]",1,0,[],0.125,8,['Node.js'],1,87.0,2026-08-27 14:55:21,
node-express-mongodb-jwt-rest-api-skeleton,https://github.com/davellanedam/node-express-mongodb-jwt-rest-api-skeleton,express,codellama:7b-instruct,dependency_graph,gemma2:9b,0,1.0,63,0,[],1,0,[],0.4118,17,"['Mongoose', 'EJS', 'nodemon', 'nyc', 'prettier', 'prettier-eslint', 'remark-cli']",1,19.8,2026-08-27 14:56:48,
node-express-mongodb-jwt-rest-api-skeleton,https://github.com/davellanedam/node-express-mongodb-jwt-rest-api-skeleton,express,codellama:7b-instruct,knowledge_graph,gemma2:9b,0,0.4286,63,36,"[""Framework: express ^4.18.1"", ""Dependency: babel-eslint"", ""Dependency: compression"", ""Dependency: ejs"", ""Dependency: expeditious-engine-redis"", ""Dependency: helmet"", ""Dependency: i18n"", ""Dependency: nodemailer-mailgun-transport"", ""Dependency: chai"", ""Dependency: chai-http"", ""Dependency: cross-env"", ""Dependency: eslint"", ""Dependency: eslint-config-formidable"", ""Dependency: eslint-config-prettier"", ""Dependency: eslint-plugin-prettier"", ""Dependency: faker"", ""Dependency: husky"", ""Dependency: istanbul-merge"", ""Dependency: jest"", ""Dependency: lint-staged"", ""Dependency: mocha"", ""Dependency: mongo-seeding"", ""Endpoint: POST /register"", ""Endpoint: POST /verify"", ""Endpoint: POST /reset"", ""Endpoint: POST /forgot"", ""Endpoint: GET /token"", ""Endpoint: POST /login"", ""Endpoint: GET /:id"", ""Endpoint: DELETE /:id"", ""Endpoint: POST /"", ""Endpoint: PATCH /:id"", ""Endpoint: GET /"", ""Endpoint: GET /all"", ""Endpoint: PATCH /"", ""Endpoint: POST /changePassword""]",1,0,[],0.2,10,"['Mongoose', 'background worker']",1,69.3,2026-08-27 14:57:08,
rest-api-nodejs-mongodb,https://github.com/maitraysuthar/rest-api-nodejs-mongodb,express,codellama:7b-instruct,raw,gemma2:9b,0,0.3333,33,22,"[""Framework: express ~4.16.0"", ""Dependency: bcrypt"", ""Dependency: codacy-coverage"", ""Dependency: debug"", ""Dependency: dotenv"", ""Dependency: mocha-lcov-reporter"", ""Dependency: moment"", ""Dependency: nodemailer"", ""Dependency: chai"", ""Dependency: chai-http"", ""Dependency: eslint"", ""Dependency: nyc"", ""Endpoint: POST /api/auth/register"", ""Endpoint: POST /api/auth/login"", ""Endpoint: POST /api/auth/verify-otp"", ""Endpoint: POST /api/auth/resend-verify-otp"", ""Endpoint: GET /api/book/:id"", ""Endpoint: GET /api/book"", ""Endpoint: POST /api/book"", ""Endpoint: PUT /api/book/:id"", ""Endpoint: DELETE /api/book/:id"", ""Endpoint: GET /""]",1,0,[],0.125,16,"['This file contains the schema for the `Book` model, which is used to store information about books in the database.', 'This file contains the schema for the `User` model, which is used to store information about users in the database.']",1,54.9,2026-08-27 14:58:17,
rest-api-nodejs-mongodb,https://github.com/maitraysuthar/rest-api-nodejs-mongodb,express,codellama:7b-instruct,dependency_graph,gemma2:9b,0,0.6667,33,11,"[""Framework: express ~4.16.0"", ""Endpoint: POST /api/auth/register"", ""Endpoint: POST /api/auth/login"", ""Endpoint: POST /api/auth/verify-otp"", ""Endpoint: POST /api/auth/resend-verify-otp"", ""Endpoint: GET /api/book/:id"", ""Endpoint: GET /api/book"", ""Endpoint: POST /api/book"", ""Endpoint: PUT /api/book/:id"", ""Endpoint: DELETE /api/book/:id"", ""Endpoint: GET /""]",1,0,[],0.25,8,"['Mongoose', 'MongoDB']",1,31.0,2026-08-27 14:59:12,
rest-api-nodejs-mongodb,https://github.com/maitraysuthar/rest-api-nodejs-mongodb,express,codellama:7b-instruct,knowledge_graph,gemma2:9b,0,0.6667,33,11,"[""Framework: express ~4.16.0"", ""Endpoint: POST /api/auth/register"", ""Endpoint: POST /api/auth/login"", ""Endpoint: POST /api/auth/verify-otp"", ""Endpoint: POST /api/auth/resend-verify-otp"", ""Endpoint: GET /api/book/:id"", ""Endpoint: GET /api/book"", ""Endpoint: POST /api/book"", ""Endpoint: PUT /api/book/:id"", ""Endpoint: DELETE /api/book/:id"", ""Endpoint: GET /""]",1,0,[],0.4,10,"['Mongoose', 'Morgan', 'Nodemon', 'NYC']",1,32.1,2026-08-27 14:59:43,
express-sequelize-api-boilerplate,https://github.com/binitghetiya/express-sequelize-api-boilerplate,express,codellama:7b-instruct,raw,gemma2:9b,0,0.1351,37,32,"[""Framework: express ^4.16.4"", ""Language: javascript"", ""Dependency: @babel/preset-env"", ""Dependency: @babel/register"", ""Dependency: @babel/runtime"", ""Dependency: @babel/core"", ""Dependency: @babel/plugin-proposal-object-rest-spread"", ""Dependency: @babel/plugin-transform-runtime"", ""Dependency: axios"", ""Dependency: babel-loader"", ""Dependency: body-parser"", ""Dependency: cluster"", ""Dependency: crypto"", ""Dependency: express-joi-validator"", ""Dependency: express-validation"", ""Dependency: http"", ""Dependency: jest"", ""Dependency: joi"", ""Dependency: mock-express-response"", ""Dependency: mysql2"", ""Dependency: nodemon"", ""Dependency: os"", ""Dependency: sequelize-cli"", ""Dependency: babel-jest"", ""Dependency: eslint"", ""Dependency: eslint-config-airbnb-base"", ""Dependency: eslint-plugin-import"", ""Endpoint: GET /allUsers"", ""Endpoint: POST /changePassword"", ""Endpoint: GET /me"", ""Endpoint: POST /login"", ""Endpoint: POST /register""]",1,0,[],1.0,10,"['Sequelize', 'PostgreSQL', 'JWT', 'CORS', 'user model', 'user controller', 'user route', 'first name', 'last name', 'profile picture']",1,64.6,2026-08-27 15:00:15,
express-sequelize-api-boilerplate,https://github.com/binitghetiya/express-sequelize-api-boilerplate,express,codellama:7b-instruct,dependency_graph,gemma2:9b,0,0.4054,37,22,"[""Framework: express ^4.16.4"", ""Language: javascript"", ""Dependency: @babel/preset-env"", ""Dependency: @babel/register"", ""Dependency: @babel/runtime"", ""Dependency: @babel/core"", ""Dependency: @babel/plugin-proposal-object-rest-spread"", ""Dependency: @babel/plugin-transform-runtime"", ""Dependency: babel-loader"", ""Dependency: body-parser"", ""Dependency: cluster"", ""Dependency: crypto"", ""Dependency: jest"", ""Dependency: joi"", ""Dependency: babel-jest"", ""Dependency: eslint-config-airbnb-base"", ""Dependency: eslint-plugin-import"", ""Endpoint: GET /allUsers"", ""Endpoint: POST /changePassword"", ""Endpoint: GET /me"", ""Endpoint: POST /login"", ""Endpoint: POST /register""]",1,0,[],0.1,10,['Sequelize'],1,39.4,2026-08-27 15:01:20,
express-sequelize-api-boilerplate,https://github.com/binitghetiya/express-sequelize-api-boilerplate,express,codellama:7b-instruct,knowledge_graph,gemma2:9b,0,1.0,37,0,[],1,0,[],0.0769,13,['Sequelize'],1,10.4,2026-08-27 15:01:59,
api-design-node-v3,https://github.com/FrontendMasters/api-design-node-v3,express,codellama:7b-instruct,raw,gemma2:9b,0,0.2692,52,38,"[""Framework: express ^4.16.4"", ""Language: javascript"", ""Dependency: bcrypt"", ""Dependency: cuid"", ""Dependency: dotenv"", ""Dependency: lodash"", ""Dependency: validator"", ""Dependency: @babel/cli"", ""Dependency: @babel/core"", ""Dependency: @babel/plugin-proposal-class-properties"", ""Dependency: @babel/plugin-proposal-object-rest-spread"", ""Dependency: @babel/preset-env"", ""Dependency: babel-core"", ""Dependency: babel-eslint"", ""Dependency: babel-jest"", ""Dependency: eslint"", ""Dependency: eslint-config-prettier"", ""Dependency: eslint-config-standard"", ""Dependency: eslint-friendly-formatter"", ""Dependency: eslint-loader"", ""Dependency: eslint-plugin-import"", ""Dependency: eslint-plugin-jest"", ""Dependency: eslint-plugin-node"", ""Dependency: eslint-plugin-prettier"", ""Dependency: eslint-plugin-promise"", ""Dependency: eslint-plugin-standard"", ""Dependency: mock-req-res"", ""Dependency: nodemon"", ""Dependency: prettier"", ""Dependency: rimraf"", ""Endpoint: DELETE /:id"", ""Endpoint: POST /"", ""Endpoint: GET /"", ""Endpoint: PUT /:id"", ""Endpoint: GET /:id"", ""Endpoint: PUT /"", ""Endpoint: POST /signup"", ""Endpoint: POST /signin""]",1,0,[],0.2,10,"['MongoDB', 'JWT']",1,65.6,2026-08-27 15:02:10,
api-design-node-v3,https://github.com/FrontendMasters/api-design-node-v3,express,codellama:7b-instruct,dependency_graph,gemma2:9b,0,1.0,52,0,[],1,0,[],0.2,10,"['Mongoose', 'background worker']",1,14.5,2026-08-27 15:03:15,
api-design-node-v3,https://github.com/FrontendMasters/api-design-node-v3,express,codellama:7b-instruct,knowledge_graph,gemma2:9b,0,1.0,52,0,[],1,0,[],0.2143,14,"['Mongoose', 'JSON Web Token', 'background worker']",1,10.8,2026-08-27 15:03:30,
nestjs-realworld-example-app,https://github.com/lujakob/nestjs-realworld-example-app,nestjs,codellama:7b-instruct,raw,gemma2:9b,0,0.0244,82,80,"[""Framework: nestjs ^7.0.5"", ""Dependency: @nestjs/common"", ""Dependency: @nestjs/core"", ""Dependency: @nestjs/microservices"", ""Dependency: @nestjs/platform-express"", ""Dependency: @nestjs/swagger"", ""Dependency: @nestjs/testing"", ""Dependency: @nestjs/typeorm"", ""Dependency: @nestjs/websockets"", ""Dependency: argon2"", ""Dependency: class-transformer"", ""Dependency: class-validator"", ""Dependency: crypto"", ""Dependency: crypto-js"", ""Dependency: jsonwebtoken"", ""Dependency: mysql"", ""Dependency: passport-jwt"", ""Dependency: reflect-metadata"", ""Dependency: rxjs"", ""Dependency: slug"", ""Dependency: swagger-ui-express"", ""Dependency: typeorm"", ""Dependency: @types/jest"", ""Dependency: @types/node"", ""Dependency: atob"", ""Dependency: deep-extend"", ""Dependency: extend"", ""Dependency: jest"", ""Dependency: nodemon"", ""Dependency: supertest"", ""Dependency: ts-jest"", ""Dependency: ts-node"", ""Endpoint: GET /"", ""Endpoint: GET /articles"", ""Endpoint: GET /articles/feed"", ""Endpoint: GET /articles/:slug"", ""Endpoint: GET /articles/:slug/comments"", ""Endpoint: POST /articles"", ""Endpoint: PUT /articles/:slug"", ""Endpoint: DELETE /articles/:slug"", ""Endpoint: POST /articles/:slug/comments"", ""Endpoint: DELETE /articles/:slug/comments/:id"", ""Endpoint: POST /articles/:slug/favorite"", ""Endpoint: DELETE /articles/:slug/favorite"", ""Endpoint: GET /profiles/:username"", ""Endpoint: POST /profiles/:username/follow"", ""Endpoint: DELETE /profiles/:username/follow"", ""Endpoint: GET /tags"", ""Endpoint: GET /user"", ""Endpoint: PUT /user"", ""Endpoint: POST /users"", ""Endpoint: DELETE /users/:slug"", ""Endpoint: POST /users/login"", ""Class/Service: AppController"", ""Class/Service: ApplicationModule"", ""Class/Service: ArticleController"", ""Class/Service: ArticleEntity"", ""Class/Service: ArticleModule"", ""Class/Service: ArticleService"", ""Class/Service: Comment"", ""Class/Service: CreateArticleDto"", ""Class/Service: CreateCommentDto"", ""Class/Service: FollowsEntity"", ""Class/Service: ProfileController"", ""Class/Service: ProfileModule"", ""Class/Service: ProfileService"", ""Class/Service: BaseController"", ""Class/Service: ValidationPipe"", ""Class/Service: TagController"", ""Class/Service: TagEntity"", ""Class/Service: TagModule"", ""Class/Service: TagService"", ""Class/Service: AuthMiddleware"", ""Class/Service: CreateUserDto"", ""Class/Service: LoginUserDto"", ""Class/Service: UpdateUserDto"", ""Class/Service: UserController"", ""Class/Service: UserEntity"", ""Class/Service: UserModule"", ""Class/Service: UserService""]",1,0,[],0.5,8,"['TypeORM', 'PostgreSQL', 'Redis', 'Swagger']",1,128.9,2026-08-27 15:03:41,
nestjs-realworld-example-app,https://github.com/lujakob/nestjs-realworld-example-app,nestjs,codellama:7b-instruct,dependency_graph,gemma2:9b,0,0.3902,82,50,"[""Dependency: @nestjs/testing"", ""Dependency: @nestjs/websockets"", ""Endpoint: GET /"", ""Endpoint: GET /articles"", ""Endpoint: GET /articles/feed"", ""Endpoint: GET /articles/:slug"", ""Endpoint: GET /articles/:slug/comments"", ""Endpoint: POST /articles"", ""Endpoint: PUT /articles/:slug"", ""Endpoint: DELETE /articles/:slug"", ""Endpoint: POST /articles/:slug/comments"", ""Endpoint: DELETE /articles/:slug/comments/:id"", ""Endpoint: POST /articles/:slug/favorite"", ""Endpoint: DELETE /articles/:slug/favorite"", ""Endpoint: GET /profiles/:username"", ""Endpoint: POST /profiles/:username/follow"", ""Endpoint: DELETE /profiles/:username/follow"", ""Endpoint: GET /tags"", ""Endpoint: GET /user"", ""Endpoint: PUT /user"", ""Endpoint: POST /users"", ""Endpoint: DELETE /users/:slug"", ""Endpoint: POST /users/login"", ""Class/Service: AppController"", ""Class/Service: ApplicationModule"", ""Class/Service: ArticleController"", ""Class/Service: ArticleEntity"", ""Class/Service: ArticleModule"", ""Class/Service: ArticleService"", ""Class/Service: Comment"", ""Class/Service: CreateArticleDto"", ""Class/Service: CreateCommentDto"", ""Class/Service: FollowsEntity"", ""Class/Service: ProfileController"", ""Class/Service: ProfileModule"", ""Class/Service: ProfileService"", ""Class/Service: BaseController"", ""Class/Service: ValidationPipe"", ""Class/Service: TagController"", ""Class/Service: TagEntity"", ""Class/Service: TagModule"", ""Class/Service: TagService"", ""Class/Service: AuthMiddleware"", ""Class/Service: CreateUserDto"", ""Class/Service: LoginUserDto"", ""Class/Service: UpdateUserDto"", ""Class/Service: UserController"", ""Class/Service: UserEntity"", ""Class/Service: UserModule"", ""Class/Service: UserService""]",1,0,[],0.2,10,"['TypeORM', 'MySQL']",1,94.0,2026-08-27 15:05:50,
