repo_name,model,context_variant,judge_model,total_facts,covered_strict,covered_lenient,oracle_coverage_strict,oracle_coverage_lenient,judge_coverage_score,judge_coverage_judged,total_candidates,supported,unsupported,oracle_unsupported_rate,input_tokens,output_tokens,latency_ms,per_category_strict,per_category_lenient,rule_histogram,unsupported_samples
express-mongoose-es6-rest-api,codellama:7b-instruct,dependency_graph,mistral:7b-instruct,44,35,36,0.7955,0.8182,1.0,1,2,1,1,0.5,819,287,60013,"{""Framework"": 1.0, ""Language"": 0.0, ""Dependency"": 1.0, ""Endpoint"": 0.0}","{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 1.0, ""Endpoint"": 0.0}","{""framework_name"": 1, ""language_abbrev"": 1, ""dep_exact"": 34}","[""Node.js""]"
express-mongoose-es6-rest-api,codellama:7b-instruct,knowledge_graph,mistral:7b-instruct,44,35,35,0.7955,0.7955,1.0,1,1,0,1,1.0,865,245,34191,"{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 0.9706, ""Endpoint"": 0.0}","{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 0.9706, ""Endpoint"": 0.0}","{""framework_name"": 1, ""language_exact"": 1, ""dep_exact"": 33}","[""Node.js""]"
express-rest-boilerplate,codellama:7b-instruct,raw,mistral:7b-instruct,57,0,0,0.0,0.0,1.0,1,9,3,6,0.6667,7982,734,232806,"{""Framework"": 0.0, ""Language"": 0.0, ""Dependency"": 0.0, ""Endpoint"": 0.0}","{""Framework"": 0.0, ""Language"": 0.0, ""Dependency"": 0.0, ""Endpoint"": 0.0}",{},"[""tokenType"", ""accessToken"", ""expiresIn"", ""name"", ""role"", ""createdAt""]"
express-rest-boilerplate,codellama:7b-instruct,dependency_graph,mistral:7b-instruct,57,42,42,0.7368,0.7368,1.0,1,2,1,1,0.5,1335,322,78801,"{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 1.0, ""Endpoint"": 0.0}","{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 1.0, ""Endpoint"": 0.0}","{""framework_name"": 1, ""language_exact"": 1, ""dep_exact"": 40}","[""Node.js""]"
express-rest-boilerplate,codellama:7b-instruct,knowledge_graph,mistral:7b-instruct,57,42,42,0.7368,0.7368,1.0,1,2,2,0,0.0,1235,315,48869,"{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 1.0, ""Endpoint"": 0.0}","{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 1.0, ""Endpoint"": 0.0}","{""framework_name"": 1, ""language_exact"": 1, ""dep_exact"": 40}",[]
node-express-mongodb-jwt-rest-api-skeleton,codellama:7b-instruct,raw,mistral:7b-instruct,63,6,13,0.0952,0.2063,1.0,1,2,1,1,0.5,7789,114,88623,"{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 0.1, ""Endpoint"": 0.0}","{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 0.1, ""Endpoint"": 0.3333}","{""framework_name"": 1, ""language_exact"": 1, ""dep_exact"": 4, ""endpoint_path_only"": 7}","[""Node.js""]"
node-express-mongodb-jwt-rest-api-skeleton,codellama:7b-instruct,dependency_graph,mistral:7b-instruct,63,41,49,0.6508,0.7778,1.0,1,2,1,1,0.5,6001,363,139833,"{""Framework"": 1.0, ""Language"": 0.0, ""Dependency"": 1.0, ""Endpoint"": 0.0}","{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 1.0, ""Endpoint"": 0.3333}","{""framework_name"": 1, ""language_abbrev"": 1, ""dep_exact"": 40, ""endpoint_path_only"": 7}","[""Node.js""]"
node-express-mongodb-jwt-rest-api-skeleton,codellama:7b-instruct,knowledge_graph,mistral:7b-instruct,63,21,28,0.3333,0.4444,1.0,1,2,1,1,0.5,2751,214,56631,"{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 0.475, ""Endpoint"": 0.0}","{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 0.475, ""Endpoint"": 0.3333}","{""framework_name"": 1, ""language_exact"": 1, ""dep_exact"": 19, ""endpoint_path_only"": 7}","[""Node.js""]"
rest-api-nodejs-mongodb,codellama:7b-instruct,raw,mistral:7b-instruct,33,3,5,0.0909,0.1515,1.0,1,34,33,1,0.0294,4098,463,128912,"{""Framework"": 1.0, ""Language"": 0.0, ""Dependency"": 0.0952, ""Endpoint"": 0.0}","{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 0.0952, ""Endpoint"": 0.1}","{""framework_name"": 1, ""language_abbrev"": 1, ""dep_exact"": 2, ""endpoint_path_only"": 1}","[""Node.js""]"
rest-api-nodejs-mongodb,codellama:7b-instruct,dependency_graph,mistral:7b-instruct,33,23,24,0.697,0.7273,0.697,1,1,1,0,0.0,744,187,38751,"{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 1.0, ""Endpoint"": 0.0}","{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 1.0, ""Endpoint"": 0.1}","{""framework_name"": 1, ""language_exact"": 1, ""dep_exact"": 21, ""endpoint_path_only"": 1}",[]
rest-api-nodejs-mongodb,codellama:7b-instruct,knowledge_graph,mistral:7b-instruct,33,23,24,0.697,0.7273,1.0,1,1,1,0,0.0,835,189,25492,"{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 1.0, ""Endpoint"": 0.0}","{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 1.0, ""Endpoint"": 0.1}","{""framework_name"": 1, ""language_exact"": 1, ""dep_exact"": 21, ""endpoint_path_only"": 1}",[]
express-sequelize-api-boilerplate,codellama:7b-instruct,raw,mistral:7b-instruct,37,7,8,0.1892,0.2162,1.0,1,2,1,1,0.5,6776,223,99261,"{""Framework"": 1.0, ""Language"": 0.0, ""Dependency"": 0.2, ""Endpoint"": 0.0}","{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 0.2, ""Endpoint"": 0.0}","{""framework_name"": 1, ""language_abbrev"": 1, ""dep_exact"": 6}","[""Node.js""]"
express-sequelize-api-boilerplate,codellama:7b-instruct,dependency_graph,mistral:7b-instruct,37,17,18,0.4595,0.4865,1.0,1,2,1,1,0.5,1039,166,71470,"{""Framework"": 1.0, ""Language"": 0.0, ""Dependency"": 0.5333, ""Endpoint"": 0.0}","{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 0.5333, ""Endpoint"": 0.0}","{""framework_name"": 1, ""language_abbrev"": 1, ""dep_exact"": 16}","[""Node.js""]"
express-sequelize-api-boilerplate,codellama:7b-instruct,knowledge_graph,mistral:7b-instruct,37,32,33,0.8649,0.8919,1.0,1,7,7,0,0.0,913,276,43252,"{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 1.0, ""Endpoint"": 0.0}","{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 1.0, ""Endpoint"": 0.2}","{""framework_name"": 1, ""language_exact"": 1, ""dep_exact"": 30, ""endpoint_path_only"": 1}",[]
api-design-node-v3,codellama:7b-instruct,raw,mistral:7b-instruct,52,9,16,0.1731,0.3077,1.0,1,2,1,1,0.5,4763,152,77406,"{""Framework"": 1.0, ""Language"": 0.0, ""Dependency"": 0.2222, ""Endpoint"": 0.0}","{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 0.2222, ""Endpoint"": 0.4286}","{""framework_name"": 1, ""language_abbrev"": 1, ""dep_exact"": 8, ""endpoint_path_only"": 6}","[""Node.js""]"
api-design-node-v3,codellama:7b-instruct,dependency_graph,mistral:7b-instruct,52,38,50,0.7308,0.9615,1.0,1,6,6,0,0.0,1117,334,61901,"{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 1.0, ""Endpoint"": 0.0}","{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 1.0, ""Endpoint"": 0.8571}","{""framework_name"": 1, ""language_exact"": 1, ""dep_exact"": 36, ""endpoint_path_only"": 12}",[]
api-design-node-v3,codellama:7b-instruct,knowledge_graph,mistral:7b-instruct,52,38,50,0.7308,0.9615,1.0,1,6,5,1,0.1667,994,326,47501,"{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 1.0, ""Endpoint"": 0.0}","{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 1.0, ""Endpoint"": 0.8571}","{""framework_name"": 1, ""language_exact"": 1, ""dep_exact"": 36, ""endpoint_path_only"": 12}","[""Node.js""]"
nestjs-realworld-example-app,codellama:7b-instruct,raw,mistral:7b-instruct,82,4,7,0.0488,0.0854,1.0,1,0,0,0,0.0,7630,108,85514,"{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 0.0625, ""Endpoint"": 0.0, ""Class/Service"": 0.0}","{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 0.125, ""Endpoint"": 0.0476, ""Class/Service"": 0.0}","{""framework_name"": 1, ""language_exact"": 1, ""dep_scope_and_sub"": 2, ""dep_exact"": 2, ""endpoint_path_only"": 1}",[]
nestjs-realworld-example-app,codellama:7b-instruct,dependency_graph,mistral:7b-instruct,82,34,35,0.4146,0.4268,1.0,1,10,10,0,0.0,1676,269,91705,"{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 1.0, ""Endpoint"": 0.0, ""Class/Service"": 0.0}","{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 1.0, ""Endpoint"": 0.0476, ""Class/Service"": 0.0}","{""framework_name"": 1, ""language_exact"": 1, ""dep_exact"": 32, ""endpoint_path_only"": 1}",[]
nestjs-realworld-example-app,codellama:7b-instruct,knowledge_graph,mistral:7b-instruct,82,34,35,0.4146,0.4268,1.0,1,10,10,0,0.0,1341,263,39806,"{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 1.0, ""Endpoint"": 0.0, ""Class/Service"": 0.0}","{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 1.0, ""Endpoint"": 0.0476, ""Class/Service"": 0.0}","{""framework_name"": 1, ""language_exact"": 1, ""dep_exact"": 32, ""endpoint_path_only"": 1}",[]
nestjs-prisma-starter,codellama:7b-instruct,raw,mistral:7b-instruct,76,5,7,0.0658,0.0921,1.0,1,1,1,0,0.0,8095,98,89882,"{""Framework"": 1.0, ""Language"": 0.0, ""Dependency"": 0.1, ""Endpoint"": 0.0, ""Class/Service"": 0.0}","{""Framework"": 1.0, ""Language"": 0.0, ""Dependency"": 0.125, ""Endpoint"": 0.5, ""Class/Service"": 0.0}","{""framework_name"": 1, ""dep_scope_and_sub"": 1, ""dep_exact"": 4, ""endpoint_path_only"": 1}",[]
nestjs-prisma-starter,codellama:7b-instruct,dependency_graph,mistral:7b-instruct,76,42,43,0.5526,0.5658,1.0,1,25,25,0,0.0,2170,422,83857,"{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 1.0, ""Endpoint"": 0.0, ""Class/Service"": 0.0}","{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 1.0, ""Endpoint"": 0.5, ""Class/Service"": 0.0}","{""framework_name"": 1, ""language_exact"": 1, ""dep_exact"": 40, ""endpoint_path_only"": 1}",[]
nestjs-prisma-starter,codellama:7b-instruct,knowledge_graph,mistral:7b-instruct,76,42,45,0.5526,0.5921,1.0,1,25,25,0,0.0,1467,417,69116,"{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 1.0, ""Endpoint"": 0.0, ""Class/Service"": 0.0}","{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 1.0, ""Endpoint"": 0.5, ""Class/Service"": 0.0625}","{""framework_name"": 1, ""language_exact"": 1, ""dep_exact"": 40, ""endpoint_path_only"": 1, ""class_exact_ci"": 2}",[]
nestjs-boilerplate,codellama:7b-instruct,raw,mistral:7b-instruct,106,3,7,0.0283,0.066,1.0,1,0,0,0,0.0,7753,92,73597,"{""Framework"": 1.0, ""Language"": 0.0, ""Dependency"": 0.05, ""Endpoint"": 0.0, ""Class/Service"": 0.0}","{""Framework"": 1.0, ""Language"": 0.0, ""Dependency"": 0.125, ""Endpoint"": 0.0417, ""Class/Service"": 0.0}","{""framework_name"": 1, ""dep_scope_and_sub"": 3, ""dep_exact"": 2, ""endpoint_path_only"": 1}",[]
nestjs-boilerplate,codellama:7b-instruct,dependency_graph,mistral:7b-instruct,106,42,43,0.3962,0.4057,1.0,1,81,80,1,0.0123,4098,677,221719,"{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 1.0, ""Endpoint"": 0.0, ""Class/Service"": 0.0}","{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 1.0, ""Endpoint"": 0.0417, ""Class/Service"": 0.0}","{""framework_name"": 1, ""language_exact"": 1, ""dep_exact"": 40, ""endpoint_path_only"": 1}","[""devDependencies""]"
nestjs-boilerplate,codellama:7b-instruct,knowledge_graph,mistral:7b-instruct,106,39,40,0.3679,0.3774,1.0,1,21,21,0,0.0,4450,507,136871,"{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 0.925, ""Endpoint"": 0.0, ""Class/Service"": 0.0}","{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 0.925, ""Endpoint"": 0.0417, ""Class/Service"": 0.0}","{""framework_name"": 1, ""language_exact"": 1, ""dep_exact"": 37, ""endpoint_path_only"": 1}",[]
ack-nestjs-boilerplate,codellama:7b-instruct,raw,mistral:7b-instruct,122,3,5,0.0246,0.041,1.0,1,0,0,0,0.0,7873,131,106590,"{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 0.025, ""Endpoint"": 0.0, ""Class/Service"": 0.0}","{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 0.075, ""Endpoint"": 0.0, ""Class/Service"": 0.0}","{""framework_name"": 1, ""language_exact"": 1, ""dep_scope_and_sub"": 2, ""dep_exact"": 1}",[]
ack-nestjs-boilerplate,codellama:7b-instruct,knowledge_graph,mistral:7b-instruct,122,2,2,0.0164,0.0164,1.0,1,4,3,1,0.25,4098,195,113788,"{""Framework"": 0.0, ""Language"": 1.0, ""Dependency"": 0.025, ""Endpoint"": 0.0, ""Class/Service"": 0.0}","{""Framework"": 0.0, ""Language"": 1.0, ""Dependency"": 0.025, ""Endpoint"": 0.0, ""Class/Service"": 0.0}","{""language_exact"": 1, ""dep_exact"": 1}","[""Nest.js""]"
awesome-nest-boilerplate,codellama:7b-instruct,raw,mistral:7b-instruct,94,2,2,0.0213,0.0213,0.4362,1,11,5,6,0.5455,4098,1108,297801,"{""Framework"": 0.0, ""Language"": 1.0, ""Dependency"": 0.0, ""Endpoint"": 0.0, ""Class/Service"": 0.025}","{""Framework"": 0.0, ""Language"": 1.0, ""Dependency"": 0.0, ""Endpoint"": 0.0, ""Class/Service"": 0.025}","{""language_exact"": 1, ""class_exact_cs"": 1}","[""post_translations"", ""user_settings"", ""post_translations_language_code_enum"", ""language_code"", ""MigrationInterface"", ""QueryRunner""]"
awesome-nest-boilerplate,codellama:7b-instruct,dependency_graph,mistral:7b-instruct,94,42,43,0.4468,0.4574,1.0,1,48,48,0,0.0,5919,902,252719,"{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 1.0, ""Endpoint"": 0.0, ""Class/Service"": 0.0}","{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 1.0, ""Endpoint"": 0.0, ""Class/Service"": 0.025}","{""framework_name"": 1, ""language_exact"": 1, ""dep_exact"": 40, ""class_camel_split"": 1}",[]
awesome-nest-boilerplate,codellama:7b-instruct,knowledge_graph,mistral:7b-instruct,94,42,42,0.4468,0.4468,1.0,1,48,48,0,0.0,3157,851,227305,"{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 1.0, ""Endpoint"": 0.0, ""Class/Service"": 0.0}","{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 1.0, ""Endpoint"": 0.0, ""Class/Service"": 0.0}","{""framework_name"": 1, ""language_exact"": 1, ""dep_exact"": 40}",[]
domain-driven-hexagon,codellama:7b-instruct,raw,mistral:7b-instruct,85,11,14,0.1294,0.1647,1.0,1,5,5,0,0.0,7610,183,108540,"{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 0.225, ""Endpoint"": 0.0, ""Class/Service"": 0.0}","{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 0.225, ""Endpoint"": 1.0, ""Class/Service"": 0.0}","{""framework_name"": 1, ""language_exact"": 1, ""dep_exact"": 9, ""endpoint_path_only"": 3}",[]
domain-driven-hexagon,codellama:7b-instruct,dependency_graph,mistral:7b-instruct,85,41,44,0.4824,0.5176,1.0,1,21,21,0,0.0,4880,436,144326,"{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 0.975, ""Endpoint"": 0.0, ""Class/Service"": 0.0}","{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 0.975, ""Endpoint"": 1.0, ""Class/Service"": 0.0}","{""framework_name"": 1, ""language_exact"": 1, ""dep_exact"": 39, ""endpoint_path_only"": 3}",[]
domain-driven-hexagon,codellama:7b-instruct,knowledge_graph,mistral:7b-instruct,85,41,44,0.4824,0.5176,1.0,1,21,21,0,0.0,2601,406,79176,"{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 0.975, ""Endpoint"": 0.0, ""Class/Service"": 0.0}","{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 0.975, ""Endpoint"": 1.0, ""Class/Service"": 0.0}","{""framework_name"": 1, ""language_exact"": 1, ""dep_exact"": 39, ""endpoint_path_only"": 3}",[]
nestjs-recipe,codellama:7b-instruct,raw,mistral:7b-instruct,66,3,5,0.0455,0.0758,1.0,1,0,0,0,0.0,5555,89,68157,"{""Framework"": 1.0, ""Language"": 0.0, ""Dependency"": 0.05, ""Endpoint"": 0.0, ""Class/Service"": 0.0}","{""Framework"": 1.0, ""Language"": 0.0, ""Dependency"": 0.1, ""Endpoint"": 0.0, ""Class/Service"": 0.0}","{""framework_name"": 1, ""dep_scope_and_sub"": 2, ""dep_exact"": 2}",[]
nestjs-recipe,codellama:7b-instruct,dependency_graph,mistral:7b-instruct,66,42,42,0.6364,0.6364,1.0,1,19,19,0,0.0,1497,337,64245,"{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 1.0, ""Endpoint"": 0.0, ""Class/Service"": 0.0}","{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 1.0, ""Endpoint"": 0.0, ""Class/Service"": 0.0}","{""framework_name"": 1, ""language_exact"": 1, ""dep_exact"": 40}",[]
nestjs-recipe,codellama:7b-instruct,knowledge_graph,mistral:7b-instruct,66,42,43,0.6364,0.6515,1.0,1,19,19,0,0.0,1106,444,65545,"{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 1.0, ""Endpoint"": 0.0, ""Class/Service"": 0.0}","{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 1.0, ""Endpoint"": 0.0, ""Class/Service"": 0.0588}","{""framework_name"": 1, ""language_exact"": 1, ""dep_exact"": 40, ""class_exact_ci"": 1}",[]
nestjs-starter-rest-api,codellama:7b-instruct,raw,mistral:7b-instruct,95,3,5,0.0316,0.0526,0.7684,1,1,0,1,1.0,8094,163,100054,"{""Framework"": 0.0, ""Language"": 1.0, ""Dependency"": 0.025, ""Endpoint"": 0.0, ""Class/Service"": 0.025}","{""Framework"": 0.0, ""Language"": 1.0, ""Dependency"": 0.025, ""Endpoint"": 0.0769, ""Class/Service"": 0.05}","{""language_exact"": 1, ""dep_exact"": 1, ""endpoint_path_only"": 1, ""class_camel_split"": 1, ""class_exact_cs"": 1}","[""Nest.js""]"
nestjs-starter-rest-api,codellama:7b-instruct,dependency_graph,mistral:7b-instruct,95,42,44,0.4421,0.4632,0.4421,1,24,24,0,0.0,4140,453,102833,"{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 1.0, ""Endpoint"": 0.0, ""Class/Service"": 0.0}","{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 1.0, ""Endpoint"": 0.0769, ""Class/Service"": 0.025}","{""framework_name"": 1, ""language_exact"": 1, ""dep_exact"": 40, ""endpoint_path_only"": 1, ""class_camel_split"": 1}",[]
nestjs-starter-rest-api,codellama:7b-instruct,knowledge_graph,mistral:7b-instruct,95,40,41,0.4211,0.4316,1.0,1,22,22,0,0.0,2168,424,84589,"{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 0.95, ""Endpoint"": 0.0, ""Class/Service"": 0.0}","{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 0.95, ""Endpoint"": 0.0769, ""Class/Service"": 0.0}","{""framework_name"": 1, ""language_exact"": 1, ""dep_exact"": 38, ""endpoint_path_only"": 1}",[]
clean-architecture-nestJS,codellama:7b-instruct,raw,mistral:7b-instruct,81,1,2,0.0123,0.0247,1.0,1,0,0,0,0.0,7122,89,57541,"{""Framework"": 1.0, ""Language"": 0.0, ""Dependency"": 0.0, ""Endpoint"": 0.0, ""Class/Service"": 0.0}","{""Framework"": 1.0, ""Language"": 0.0, ""Dependency"": 0.0, ""Endpoint"": 0.0769, ""Class/Service"": 0.0}","{""framework_name"": 1, ""endpoint_path_only"": 1}",[]
clean-architecture-nestJS,codellama:7b-instruct,dependency_graph,mistral:7b-instruct,81,34,35,0.4198,0.4321,1.0,1,14,14,0,0.0,2239,297,71388,"{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 1.0, ""Endpoint"": 0.0, ""Class/Service"": 0.0}","{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 1.0, ""Endpoint"": 0.0769, ""Class/Service"": 0.0}","{""framework_name"": 1, ""language_exact"": 1, ""dep_exact"": 32, ""endpoint_path_only"": 1}",[]
clean-architecture-nestJS,codellama:7b-instruct,knowledge_graph,mistral:7b-instruct,81,34,39,0.4198,0.4815,1.0,1,14,14,0,0.0,1669,301,49157,"{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 1.0, ""Endpoint"": 0.0, ""Class/Service"": 0.0}","{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 1.0, ""Endpoint"": 0.0769, ""Class/Service"": 0.1176}","{""framework_name"": 1, ""language_exact"": 1, ""dep_exact"": 32, ""endpoint_path_only"": 1, ""class_exact_ci"": 4}",[]
node-express-sequelize-postgresql,gemma2:9b,raw,mistral:7b-instruct,15,5,6,0.3333,0.4,1.0,1,1,0,1,1.0,2307,118,115930,"{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 0.6, ""Endpoint"": 0.0}","{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 0.6, ""Endpoint"": 0.125}","{""framework_name"": 1, ""language_exact"": 1, ""dep_exact"": 3, ""endpoint_path_only"": 1}","[""Node.js""]"
