repo_name,source_url,framework,model,context_variant,judge_model,self_judged,coverage_score,total_facts,missing_facts,missing_facts_list,coverage_judged,unmatched_verdict_items,unmatched_samples,hallucination_score,total_claims,unsupported_claims,hallucination_judged,elapsed_s,judged_at,error
express-mongoose-es6-rest-api,https://github.com/kunalkapadia/express-mongoose-es6-rest-api,express,codellama:7b-instruct,dependency_graph,mistral:7b-instruct,0,0.0455,44,42,"[""Framework: express 4.16.3"", ""Dependency: body-parser"", ""Dependency: compression"", ""Dependency: cookie-parser"", ""Dependency: cors"", ""Dependency: debug"", ""Dependency: dotenv"", ""Dependency: express"", ""Dependency: express-jwt"", ""Dependency: express-validation"", ""Dependency: express-winston"", ""Dependency: helmet"", ""Dependency: http-status"", ""Dependency: joi"", ""Dependency: jsonwebtoken"", ""Dependency: method-override"", ""Dependency: mongoose"", ""Dependency: morgan"", ""Dependency: winston"", ""Dependency: chai"", ""Dependency: commitizen"", ""Dependency: coveralls"", ""Dependency: cross-env"", ""Dependency: cz-conventional-changelog"", ""Dependency: eslint"", ""Dependency: eslint-config-airbnb-base"", ""Dependency: eslint-plugin-import"", ""Dependency: eslint-watch"", ""Dependency: husky"", ""Dependency: istanbul"", ""Dependency: mocha"", ""Dependency: supertest"", ""Dependency: supertest-as-promised"", ""Dependency: validate-commit-msg"", ""Endpoint: GET /api/health-check"", ""Endpoint: POST /api/auth/login"", ""Endpoint: GET /api/auth/random-number"", ""Endpoint: POST /api/users"", ""Endpoint: GET /api/users"", ""Endpoint: DELETE /api/users/:userId"", ""Endpoint: GET /api/users/:userId"", ""Endpoint: PUT /api/users/:userId""]",1,0,[],0.25,4,['Mongoose'],1,46.1,2026-08-27 18:20:37,
express-mongoose-es6-rest-api,https://github.com/kunalkapadia/express-mongoose-es6-rest-api,express,codellama:7b-instruct,knowledge_graph,mistral:7b-instruct,0,0.7727,44,10,"[""Framework: express 4.16.3"", ""Dependency: method-override"", ""Endpoint: GET /api/health-check"", ""Endpoint: POST /api/auth/login"", ""Endpoint: GET /api/auth/random-number"", ""Endpoint: POST /api/users"", ""Endpoint: GET /api/users"", ""Endpoint: DELETE /api/users/:userId"", ""Endpoint: GET /api/users/:userId"", ""Endpoint: PUT /api/users/:userId""]",1,0,[],0.25,4,['Mongoose'],1,18.5,2026-08-27 18:21:24,
express-rest-boilerplate,https://github.com/danielfsousa/express-rest-boilerplate,express,codellama:7b-instruct,raw,mistral:7b-instruct,0,0.0175,57,56,"[""Framework: express ^4.15.2"", ""Language: javascript"", ""Dependency: axios"", ""Dependency: bcryptjs"", ""Dependency: bluebird"", ""Dependency: body-parser"", ""Dependency: compression"", ""Dependency: cors"", ""Dependency: cross-env"", ""Dependency: dotenv-safe"", ""Dependency: email-templates"", ""Dependency: express"", ""Dependency: express-validation"", ""Dependency: helmet"", ""Dependency: http-status"", ""Dependency: joi"", ""Dependency: jwt-simple"", ""Dependency: lodash"", ""Dependency: method-override"", ""Dependency: moment-timezone"", ""Dependency: mongoose"", ""Dependency: morgan"", ""Dependency: nodemailer"", ""Dependency: passport"", ""Dependency: passport-http-bearer"", ""Dependency: passport-jwt"", ""Dependency: pm2"", ""Dependency: pug"", ""Dependency: uuid"", ""Dependency: winston"", ""Dependency: apidoc"", ""Dependency: chai"", ""Dependency: chai-as-promised"", ""Dependency: coveralls"", ""Dependency: eslint"", ""Dependency: eslint-config-airbnb-base"", ""Dependency: eslint-plugin-import"", ""Dependency: husky"", ""Dependency: mocha"", ""Dependency: nodemon"", ""Dependency: nyc"", ""Dependency: opn-cli"", ""Endpoint: POST /v1/auth/reset-password"", ""Endpoint: POST /v1/auth/login"", ""Endpoint: POST /v1/auth/refresh-token"", ""Endpoint: POST /v1/auth/send-password-reset"", ""Endpoint: POST /v1/auth/register"", ""Endpoint: POST /v1/auth/facebook"", ""Endpoint: POST /v1/auth/google"", ""Endpoint: GET /v1/status"", ""Endpoint: GET /v1/users/:userId"", ""Endpoint: GET /v1/users"", ""Endpoint: GET /v1/users/profile"", ""Endpoint: PUT /v1/users/:userId"", ""Endpoint: DELETE /v1/users/:userId"", ""Endpoint: PATCH /v1/users/:userId""]",1,1,"[""56. Endendpoint: POST /v1/users""]",0.0,0,[],1,123.3,2026-08-27 18:21:42,
express-rest-boilerplate,https://github.com/danielfsousa/express-rest-boilerplate,express,codellama:7b-instruct,dependency_graph,mistral:7b-instruct,0,0.7368,57,15,"[""Framework: express ^4.15.2"", ""Dependency: pug"", ""Dependency: apidoc"", ""Dependency: chai"", ""Dependency: chai-as-promised"", ""Dependency: coveralls"", ""Dependency: eslint"", ""Dependency: eslint-config-airbnb-base"", ""Dependency: eslint-plugin-import"", ""Dependency: husky"", ""Dependency: mocha"", ""Dependency: nodemon"", ""Dependency: nyc"", ""Dependency: opn-cli"", ""Endpoint: GET /v1/status""]",1,0,[],1.0,6,"['Mongoose', 'Passport', 'Winston', 'sinon', 'sinon-chai', 'supertest']",1,34.5,2026-08-27 18:23:45,
express-rest-boilerplate,https://github.com/danielfsousa/express-rest-boilerplate,express,codellama:7b-instruct,knowledge_graph,mistral:7b-instruct,0,0.9649,57,2,"[""Dependency: apidoc"", ""Dependency: chai-as-promised""]",1,3,"[""sinon"", ""sinon-chai"", ""supertest""]",1.0,4,"['Mongoose', 'sinon', 'sinon-chai', 'supertest']",1,8.5,2026-08-27 18:24:20,
node-express-mongodb-jwt-rest-api-skeleton,https://github.com/davellanedam/node-express-mongodb-jwt-rest-api-skeleton,express,codellama:7b-instruct,raw,mistral:7b-instruct,0,0.1905,63,51,"[""Framework: express ^4.18.1"", ""Language: javascript"", ""Dependency: babel-eslint"", ""Dependency: body-parser"", ""Dependency: compression"", ""Dependency: cors"", ""Dependency: date-fns"", ""Dependency: dotenv-safe"", ""Dependency: ejs"", ""Dependency: expeditious-engine-redis"", ""Dependency: express"", ""Dependency: express-expeditious"", ""Dependency: express-validator"", ""Dependency: helmet"", ""Dependency: i18n"", ""Dependency: mongoose-paginate-v2"", ""Dependency: morgan"", ""Dependency: nodemailer"", ""Dependency: nodemailer-mailgun-transport"", ""Dependency: passport"", ""Dependency: passport-jwt"", ""Dependency: request-ip"", ""Dependency: trim-request"", ""Dependency: uuid"", ""Dependency: chai"", ""Dependency: chai-http"", ""Dependency: cross-env"", ""Dependency: eslint"", ""Dependency: eslint-config-formidable"", ""Dependency: eslint-config-prettier"", ""Dependency: eslint-plugin-prettier"", ""Dependency: faker"", ""Dependency: husky"", ""Dependency: istanbul-merge"", ""Dependency: jest"", ""Dependency: lint-staged"", ""Dependency: mocha"", ""Dependency: mongo-seeding"", ""Endpoint: POST /register"", ""Endpoint: POST /verify"", ""Endpoint: POST /reset"", ""Endpoint: GET /token"", ""Endpoint: POST /login"", ""Endpoint: GET /:id"", ""Endpoint: DELETE /:id"", ""Endpoint: POST /"", ""Endpoint: PATCH /:id"", ""Endpoint: GET /"", ""Endpoint: GET /all"", ""Endpoint: PATCH /"", ""Endpoint: POST /changePassword""]",1,0,[],0.25,4,['bcryptjs'],1,119.7,2026-08-27 18:24:28,
node-express-mongodb-jwt-rest-api-skeleton,https://github.com/davellanedam/node-express-mongodb-jwt-rest-api-skeleton,express,codellama:7b-instruct,dependency_graph,mistral:7b-instruct,0,0.5714,63,27,"[""Framework: express ^4.18.1"", ""Dependency: chai-http"", ""Dependency: cross-env"", ""Dependency: eslint"", ""Dependency: eslint-config-formidable"", ""Dependency: eslint-config-prettier"", ""Dependency: eslint-plugin-prettier"", ""Dependency: faker"", ""Dependency: husky"", ""Dependency: istanbul-merge"", ""Dependency: jest"", ""Dependency: lint-staged"", ""Dependency: mocha"", ""Dependency: mongo-seeding"", ""Endpoint: POST /"", ""Endpoint: POST /verify"", ""Endpoint: POST /reset"", ""Endpoint: POST /forgot"", ""Endpoint: GET /token"", ""Endpoint: POST /login"", ""Endpoint: GET /:id"", ""Endpoint: DELETE /:id"", ""Endpoint: POST /changePassword"", ""Endpoint: GET /"", ""Endpoint: GET /all"", ""Endpoint: PATCH /"", ""Endpoint: PATCH /:id""]",1,0,[],0.25,4,['EJS for the frontend'],1,56.7,2026-08-27 18:26:28,
node-express-mongodb-jwt-rest-api-skeleton,https://github.com/davellanedam/node-express-mongodb-jwt-rest-api-skeleton,express,codellama:7b-instruct,knowledge_graph,mistral:7b-instruct,0,1.0,63,0,[],1,64,"[""1"", ""2"", ""3"", ""4"", ""5""]",0.0,0,[],1,36.5,2026-08-27 18:27:25,
rest-api-nodejs-mongodb,https://github.com/maitraysuthar/rest-api-nodejs-mongodb,express,codellama:7b-instruct,raw,mistral:7b-instruct,0,1.0,33,0,[],1,10,"[""24"", ""25"", ""26"", ""27"", ""28""]",0.1,10,"['Models: BookModel.js, UserModel.js']",1,12.6,2026-08-27 18:28:01,
rest-api-nodejs-mongodb,https://github.com/maitraysuthar/rest-api-nodejs-mongodb,express,codellama:7b-instruct,dependency_graph,mistral:7b-instruct,0,1.0,33,0,[],1,13,"[""19"", ""22"", ""23"", ""24"", ""25""]",0.25,4,['Mongoose as the ODM for MongoDB'],1,9.9,2026-08-27 18:28:14,
rest-api-nodejs-mongodb,https://github.com/maitraysuthar/rest-api-nodejs-mongodb,express,codellama:7b-instruct,knowledge_graph,mistral:7b-instruct,0,1.0,33,0,[],1,13,"[""19"", ""22"", ""23"", ""24"", ""25""]",0.5,4,"['Mongoose', 'Background worker']",1,9.5,2026-08-27 18:28:24,
express-sequelize-api-boilerplate,https://github.com/binitghetiya/express-sequelize-api-boilerplate,express,codellama:7b-instruct,raw,mistral:7b-instruct,0,1.0,37,0,[],1,37,"[""1"", ""2"", ""3"", ""4"", ""5""]",1.0,5,"['Sequelize as the ORM to interact with a PostgreSQL database.', 'The repository includes a user model, a user controller, and a user route.', 'The user model has a first name, last name, email, password, profile picture, and admin status.', 'The user controller has methods for registering a new user, logging in, and getting the profile of a user.', 'The user route has endpoints for registering a new user, logging in, and getting the profile of a user.']",1,32.3,2026-08-27 18:28:33,
express-sequelize-api-boilerplate,https://github.com/binitghetiya/express-sequelize-api-boilerplate,express,codellama:7b-instruct,dependency_graph,mistral:7b-instruct,0,0.2432,37,28,"[""Framework: express ^4.16.4"", ""Language: javascript"", ""Dependency: @babel/preset-env"", ""Dependency: @babel/register"", ""Dependency: @babel/runtime"", ""Dependency: @babel/core"", ""Dependency: @babel/plugin-proposal-object-rest-spread"", ""Dependency: @babel/plugin-transform-runtime"", ""Dependency: babel-loader"", ""Dependency: body-parser"", ""Dependency: cluster"", ""Dependency: crypto"", ""Dependency: joi"", ""Dependency: jest"", ""Dependency: jsonwebtoken"", ""Dependency: mock-express-response"", ""Dependency: mysql2"", ""Dependency: nodemon"", ""Dependency: os"", ""Dependency: sequelize"", ""Dependency: babel-jest"", ""Dependency: eslint-config-airbnb-base"", ""Dependency: eslint-plugin-import"", ""Endpoint: GET /allUsers"", ""Endpoint: POST /changePassword"", ""Endpoint: GET /me"", ""Endpoint: POST /login"", ""Endpoint: POST /register""]",1,0,[],0.25,4,['Sequelize for database access'],1,42.4,2026-08-27 18:29:06,
express-sequelize-api-boilerplate,https://github.com/binitghetiya/express-sequelize-api-boilerplate,express,codellama:7b-instruct,knowledge_graph,mistral:7b-instruct,0,1.0,37,0,[],1,10,"[""1"", ""29"", ""30"", ""31"", ""32""]",0.25,4,['Sequelize'],1,8.4,2026-08-27 18:29:48,
api-design-node-v3,https://github.com/FrontendMasters/api-design-node-v3,express,codellama:7b-instruct,raw,mistral:7b-instruct,0,0.1923,52,42,"[""Framework: express ^4.16.4"", ""Language: javascript"", ""Dependency: express"", ""Dependency: @babel/cli"", ""Dependency: @babel/core"", ""Dependency: @babel/plugin-proposal-class-properties"", ""Dependency: @babel/plugin-proposal-object-rest-spread"", ""Dependency: @babel/preset-env"", ""Dependency: babel-core"", ""Dependency: babel-eslint"", ""Dependency: babel-jest"", ""Dependency: eslint"", ""Dependency: eslint-config-prettier"", ""Dependency: eslint-config-standard"", ""Dependency: eslint-friendly-formatter"", ""Dependency: eslint-loader"", ""Dependency: eslint-plugin-import"", ""Dependency: eslint-plugin-jest"", ""Dependency: eslint-plugin-node"", ""Dependency: eslint-plugin-prettier"", ""Dependency: eslint-plugin-promise"", ""Dependency: eslint-plugin-standard"", ""Dependency: jest"", ""Dependency: mock-req-res"", ""Dependency: nodemon"", ""Dependency: prettier"", ""Dependency: rimraf"", ""Dependency: supertest"", ""Endpoint: DELETE /:id"", ""Endpoint: POST /signup"", ""Endpoint: POST /signin"", ""Endpoint: GET /:id"", ""Endpoint: PUT /"", ""Endpoint: GET /"", ""Endpoint: PUT /:id"", ""Dependency: bcrypt"", ""Dependency: cuid"", ""Dependency: dotenv"", ""Dependency: jsonwebtoken"", ""Dependency: lodash"", ""Dependency: morgan"", ""Dependency: validator""]",1,1,"[""46. Endpoint: DELETE /""]",0.25,4,['MongoDB'],1,122.4,2026-08-27 18:29:56,
api-design-node-v3,https://github.com/FrontendMasters/api-design-node-v3,express,codellama:7b-instruct,dependency_graph,mistral:7b-instruct,0,0.9231,52,4,"[""Dependency: @babel/plugin-proposal-class-properties"", ""Dependency: @babel/plugin-proposal-object-rest-spread"", ""Dependency: eslint-plugin-promise"", ""Dependency: rimraf""]",1,0,[],0.25,4,['Mongoose'],1,9.6,2026-08-27 18:31:59,
api-design-node-v3,https://github.com/FrontendMasters/api-design-node-v3,express,codellama:7b-instruct,knowledge_graph,mistral:7b-instruct,0,0.7115,52,15,"[""Dependency: @babel/plugin-proposal-class-properties"", ""Dependency: @babel/plugin-proposal-object-rest-spread"", ""Dependency: @babel/preset-env"", ""Dependency: eslint-plugin-promise"", ""Dependency: mock-req-res"", ""Dependency: rimraf"", ""Dependency: supertest"", ""Endpoint: DELETE /:id"", ""Endpoint: PUT /:id"", ""Endpoint: GET /:id"", ""Endpoint: POST /signup"", ""Endpoint: POST /signin"", ""Endpoint: PUT /"", ""Endpoint: GET /"", ""Endpoint: POST /""]",1,0,[],0.2,5,['Mongoose'],1,20.9,2026-08-27 18:32:09,
nestjs-realworld-example-app,https://github.com/lujakob/nestjs-realworld-example-app,nestjs,codellama:7b-instruct,raw,mistral:7b-instruct,0,0.4024,82,49,"[""Framework: nestjs ^7.0.5"", ""Dependency: @nestjs/common"", ""Dependency: @nestjs/core"", ""Dependency: @nestjs/microservices"", ""Dependency: @nestjs/platform-express"", ""Dependency: @nestjs/swagger"", ""Dependency: @nestjs/testing"", ""Dependency: @nestjs/typeorm"", ""Dependency: @nestjs/websockets"", ""Dependency: argon2"", ""Dependency: class-transformer"", ""Dependency: class-validator"", ""Dependency: crypto"", ""Dependency: crypto-js"", ""Dependency: jsonwebtoken"", ""Dependency: mysql"", ""Dependency: passport-jwt"", ""Dependency: reflect-metadata"", ""Dependency: rxjs"", ""Dependency: slug"", ""Dependency: swagger-ui-express"", ""Dependency: ts-jest"", ""Dependency: ts-node"", ""Dependency: atob"", ""Dependency: deep-extend"", ""Dependency: extend"", ""Dependency: jest"", ""Dependency: nodemon"", ""Dependency: supertest"", ""Dependency: typeorm"", ""Dependency: @types/jest"", ""Dependency: @types/node"", ""Class/Service: BaseController"", ""Class/Service: Comment"", ""Class/Service: CreateArticleDto"", ""Class/Service: CreateCommentDto"", ""Class/Service: FollowsEntity"", ""Class/Service: ValidationPipe"", ""Class/Service: TagController"", ""Class/Service: TagEntity"", ""Class/Service: TagService"", ""Class/Service: AuthMiddleware"", ""Class/Service: CreateUserDto"", ""Class/Service: LoginUserDto"", ""Class/Service: UpdateUserDto"", ""Class/Service: UserController"", ""Class/Service: UserEntity"", ""Class/Service: UserModule"", ""Class/Service: UserService""]",1,0,[],0.5,4,"['PostgreSQL', 'Redis']",1,38.1,2026-08-27 18:32:29,
nestjs-realworld-example-app,https://github.com/lujakob/nestjs-realworld-example-app,nestjs,codellama:7b-instruct,dependency_graph,mistral:7b-instruct,0,0.7805,82,18,"[""Class/Service: BaseController"", ""Class/Service: ValidationPipe"", ""Class/Service: Comment"", ""Class/Service: CreateArticleDto"", ""Class/Service: CreateCommentDto"", ""Class/Service: FollowsEntity"", ""Class/Service: ProfileController"", ""Class/Service: ProfileService"", ""Class/Service: TagController"", ""Class/Service: TagEntity"", ""Class/Service: TagService"", ""Class/Service: AuthMiddleware"", ""Class/Service: CreateUserDto"", ""Class/Service: LoginUserDto"", ""Class/Service: UpdateUserDto"", ""Class/Service: UserController"", ""Class/Service: UserEntity"", ""Class/Service: UserService""]",1,0,[],0.25,4,['It includes a dependency on the TypeORM library for working with a MySQL database.'],1,16.9,2026-08-27 18:33:08,
nestjs-realworld-example-app,https://github.com/lujakob/nestjs-realworld-example-app,nestjs,codellama:7b-instruct,knowledge_graph,mistral:7b-instruct,0,1.0,82,0,[],1,72,"[""10"", ""12"", ""13"", ""14"", ""15""]",0.25,4,['MySQL'],1,40.5,2026-08-27 18:33:24,
nestjs-prisma-starter,https://github.com/notiz-dev/nestjs-prisma-starter,nestjs,codellama:7b-instruct,raw,mistral:7b-instruct,0,0.1184,76,67,"[""Framework: nestjs 10.1.0"", ""Language: typescript"", ""Dependency: @nestjs/common"", ""Dependency: @nestjs/config"", ""Dependency: @nestjs/core"", ""Dependency: @nestjs/graphql"", ""Dependency: @nestjs/jwt"", ""Dependency: @nestjs/passport"", ""Dependency: @nestjs/platform-express"", ""Dependency: @nestjs/swagger"", ""Dependency: bcrypt"", ""Dependency: class-transformer"", ""Dependency: class-validator"", ""Dependency: graphql"", ""Dependency: graphql-subscriptions"", ""Dependency: passport"", ""Dependency: passport-jwt"", ""Dependency: reflect-metadata"", ""Dependency: rxjs"", ""Dependency: @nestjs/testing"", ""Dependency: @nestjs/cli"", ""Dependency: @nestjs/schematics"", ""Dependency: @types/bcrypt"", ""Dependency: @types/chance"", ""Dependency: @types/express"", ""Dependency: @types/jest"", ""Dependency: @types/node"", ""Dependency: @typescript-eslint/eslint-plugin"", ""Dependency: @typescript-eslint/parser"", ""Dependency: chance"", ""Dependency: eslint"", ""Dependency: eslint-config-prettier"", ""Dependency: eslint-plugin-prettier"", ""Endpoint: GET /"", ""Endpoint: GET /hello/:name"", ""Class/Service: AppController"", ""Class/Service: AppModule"", ""Class/Service: AppResolver"", ""Class/Service: AppService"", ""Class/Service: AuthModule"", ""Class/Service: AuthResolver"", ""Class/Service: AuthService"", ""Class/Service: LoginInput"", ""Class/Service: RefreshTokenInput"", ""Class/Service: SignupInput"", ""Class/Service: GqlAuthGuard"", ""Class/Service: JwtStrategy"", ""Class/Service: Auth"", ""Class/Service: Token"", ""Class/Service: PasswordService"", ""Class/Service: PageInfo"", ""Class/Service: PaginationArgs"", ""Class/Service: GqlConfigService"", ""Class/Service: PostIdArgs"", ""Class/Service: UserIdArgs"", ""Class/Service: CreatePostInput"", ""Class/Service: PostOrder"", ""Class/Service: PostConnection"", ""Class/Service: Post"", ""Class/Service: PostsModule"", ""Class/Service: PostsResolver"", ""Class/Service: ChangePasswordInput"", ""Class/Service: UpdateUserInput"", ""Class/Service: User"", ""Class/Service: UsersModule"", ""Class/Service: UsersResolver"", ""Class/Service: UsersService""]",1,0,[],0.25,4,['This repository contains a NestJS application that uses Prisma to manage the database'],1,142.3,2026-08-27 18:34:05,
nestjs-prisma-starter,https://github.com/notiz-dev/nestjs-prisma-starter,nestjs,codellama:7b-instruct,dependency_graph,mistral:7b-instruct,0,1.0,76,0,[],1,42,"[""30"", ""32"", ""34"", ""35"", ""36""]",0.4,5,"['Prisma', 'database access']",1,25.4,2026-08-27 18:36:27,
nestjs-prisma-starter,https://github.com/notiz-dev/nestjs-prisma-starter,nestjs,codellama:7b-instruct,knowledge_graph,mistral:7b-instruct,0,0.9079,76,7,"[""Dependency: @types/chance"", ""Dependency: @types/express"", ""Dependency: @types/jest"", ""Dependency: @types/node"", ""Dependency: @types/supertest"", ""Dependency: @typescript-eslint/eslint-plugin"", ""Dependency: @typescript-eslint/parser""]",1,6,"[""prisma-dbml-generator"", ""ts-jest"", ""ts-loader"", ""ts-node"", ""tsconfig-paths""]",0.6667,3,"['Prisma', 'database access']",1,17.3,2026-08-27 18:36:53,
